Date,Close,High,Low,Open,Volume,RSI,EMA20,EMA50,MACD,MACD_Signal,OBV
,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,,
2010-06-29,1.5926669836044312,1.6666669845581055,1.1693329811096191,1.2666670083999634,281494500,,,,,,281494500
2010-06-30,1.5886670351028442,2.0280001163482666,1.553333044052124,1.7193330526351929,257806500,,,,,,23688000
2010-07-01,1.4639999866485596,1.7280000448226929,1.3513330221176147,1.6666669845581055,123282000,,,,,,-99594000
2010-07-02,1.2799999713897705,1.5399999618530273,1.24733304977417,1.5333329439163208,77097000,,,,,,-176691000
2010-07-06,1.0740000009536743,1.3333330154418945,1.0553330183029175,1.3333330154418945,103003500,,,,,,-279694500
2010-07-07,1.053333044052124,1.108667016029358,0.9986670017242432,1.0933330059051514,103825500,,,,,,-383520000
2010-07-08,1.1640000343322754,1.1679999828338623,1.0379999876022339,1.0759999752044678,115671000,,,,,,-267849000
2010-07-09,1.159999966621399,1.1933330297470093,1.1033329963684082,1.1720000505447388,60759000,,,,,,-328608000
2010-07-12,1.136667013168335,1.2046669721603394,1.1333329677581787,1.196666955947876,33037500,,,,,,-361645500
2010-07-13,1.2093329429626465,1.2426669597625732,1.1266670227050781,1.1593329906463623,40201500,,,,,,-321444000
2010-07-14,1.3226670026779175,1.3433330059051514,1.184000015258789,1.1959999799728394,62928000,,,,,,-258516000
2010-07-15,1.3259999752044678,1.4333330392837524,1.2666670083999634,1.329332947731018,56097000,,,,,,-202419000
2010-07-16,1.3760000467300415,1.4199999570846558,1.3366669416427612,1.3799999952316284,39319500,,,,,,-163099500
2010-07-19,1.4606670141220093,1.4833329916000366,1.3946670293807983,1.4246670007705688,37297500,55.142312669952624,,,,,-125802000
2010-07-20,1.3533329963684082,1.4566669464111328,1.3366669416427612,1.4566669464111328,27379500,46.53517516996844,,,,,-153181500
2010-07-21,1.3480000495910645,1.3933329582214355,1.2999999523162842,1.3773330450057983,18787500,46.14973451731813,,,,,-171969000
2010-07-22,1.399999976158142,1.4166669845581055,1.3580000400543213,1.3666670322418213,14367000,50.458615227599175,,,,,-157602000
2010-07-23,1.4193329811096191,1.4373329877853394,1.4040000438690186,1.4126670360565186,9804000,51.996524170386735,,,,,-147798000
2010-07-26,1.3966670036315918,1.4333330392837524,1.3533329963684082,1.4333330392837524,13833000,50.035423732332355,,,,,-161631000
2010-07-27,1.3700000047683716,1.4119999408721924,1.3506669998168945,1.3940000534057617,9295500,47.753429897782475,1.3757098292755656,,,,-170926500
2010-07-28,1.3813329935073853,1.3933329582214355,1.3673330545425415,1.3700000047683716,7008000,48.821691963690995,1.376245368726215,,,,-163918500
2010-07-29,1.3566670417785645,1.3919999599456787,1.3333330154418945,1.3846670389175415,9240000,46.58893767159744,1.3743807661597722,,,,-173158500
2010-07-30,1.329332947731018,1.3626669645309448,1.303333044052124,1.3466670513153076,6403500,44.177791190590575,1.3700904977379862,,,,-179562000
2010-08-02,1.3946670293807983,1.3980000019073486,1.3553329706192017,1.3666670322418213,10771500,50.740065862540085,1.3724311197992065,,,,-168790500
2010-08-03,1.463333010673523,1.463333010673523,1.3880000114440918,1.399999976158142,18457500,56.52470707709386,1.3810884427396175,,,,-150333000
2010-08-04,1.4173330068588257,1.4786670207977295,1.3899999856948853,1.463333010673523,13695000,52.10997468486941,1.384540305989066,,-0.006340564601335252,,-164028000
2010-08-05,1.363332986831665,1.4366669654846191,1.3366669416427612,1.4359999895095825,11943000,47.42709182480481,1.3825205613074087,,-0.007696853543434745,,-175971000
2010-08-06,1.305999994277954,1.343999981880188,1.301332950592041,1.340000033378601,11128500,43.00796284648219,1.3752328882569844,,-0.013245331709838215,,-187099500
2010-08-09,1.3066669702529907,1.3320000171661377,1.2966669797897339,1.3266669511795044,12190500,43.07441483005252,1.3687028008280326,,-0.017388279976563448,,-174909000
2010-08-10,1.2686669826507568,1.309999942779541,1.254667043685913,1.309999942779541,19219500,40.198589339964315,1.3591755800492444,,-0.023467360621309163,,-194128500
2010-08-11,1.1933330297470093,1.2586669921875,1.190000057220459,1.246000051498413,11964000,35.18354554813615,1.3433810514490316,,-0.03397228488377291,,-206092500
2010-08-12,1.1733330488204956,1.1933330297470093,1.1593329906463623,1.1866669654846191,10365000,33.97181467943335,1.3271860035796472,,-0.04341093017888631,,-216457500
2010-08-13,1.2213330268859863,1.2300000190734863,1.1773329973220825,1.2120000123977661,9510000,39.368887147976054,1.3171047677040604,,-0.04648211066209673,,-206947500
2010-08-16,1.2519999742507935,1.2533329725265503,1.2173329591751099,1.2300000190734863,7287000,42.597203815551985,1.3109043111847016,,-0.045912229363008095,-0.030797985614155348,-199660500
2010-08-17,1.2766669988632202,1.2933330535888672,1.2519999742507935,1.2640000581741333,6718500,45.128028467150415,1.307643614773132,,-0.04297478502155694,-0.03323334549563567,-192942000
2010-08-18,1.2513329982757568,1.305999994277954,1.2400000095367432,1.305999994277954,9019500,43.02972051857174,1.3022806989162392,,-0.042204573290684166,-0.03502759105464537,-201961500
2010-08-19,1.25266695022583,1.2833329439163208,1.222000002861023,1.2359999418258667,8686500,43.1795332613818,1.2975555799933431,,-0.04101375513183858,-0.036224823870084015,-193275000
2010-08-20,1.273332953453064,1.2740000486373901,1.2339999675750732,1.2433329820632935,4440000,45.56766541900765,1.2952486631799833,,-0.03796481466297141,-0.036572822028661495,-188835000
2010-08-23,1.3420000076293945,1.3593330383300781,1.2666670083999634,1.2726670503616333,16321500,52.68374121521167,1.2997011721751655,,-0.02966568245634016,-0.03519139411419723,-172513500
2010-08-24,1.2799999713897705,1.3140000104904175,1.2633329629898071,1.2833329439163208,10096500,46.74193478778898,1.2978248673384611,,-0.027771314730016483,-0.033707378237361085,-182610000
2010-08-25,1.3266669511795044,1.3320000171661377,1.237333059310913,1.2773330211639404,7549500,51.20298943377457,1.3005717324661796,,-0.022247919237789793,-0.03141548643744683,-175060500
2010-08-26,1.3166669607162476,1.3513330221176147,1.3066669702529907,1.3259999752044678,6507000,50.23201601513491,1.3021046113471384,,-0.018464655122854445,-0.02882532017452835,-181567500
2010-08-27,1.3133330345153809,1.324666976928711,1.2999999523162842,1.3166669607162476,5694000,49.89232283579114,1.303173984982209,,-0.01555609011295589,-0.02617147416221386,-187261500
2010-08-30,1.324666976928711,1.3459999561309814,1.307332992553711,1.3133330345153809,10992000,51.102917807546156,1.3052209365961616,,-0.012195890324502523,-0.023376357394671594,-176269500
2010-08-31,1.2986669540405273,1.3193329572677612,1.2886669635772705,1.3106670379638672,3016500,48.224588138791425,1.3045967477813392,,-0.011498346557398342,-0.021000755227216946,-179286000
2010-09-01,1.363332986831665,1.3793330192565918,1.3066669702529907,1.3079999685287476,7423500,55.01165360463001,1.3101906753099417,,-0.00566225869319581,-0.017933055920412718,-171862500
2010-09-02,1.4040000438690186,1.4160000085830688,1.3539999723434448,1.3580000400543213,7306500,58.67999736480169,1.3191249008869967,,0.002218797701318165,-0.013902685196066543,-164556000
2010-09-03,1.4033329486846924,1.4199999570846558,1.3773330450057983,1.391332983970642,6519000,58.595593041110206,1.3271447149629678,,0.00831491352047764,-0.009459165452757707,-171075000
2010-09-07,1.369333028793335,1.399999976158142,1.3666670322418213,1.3739999532699585,3651000,54.30800336511909,1.331162649613479,,0.010284071466998723,-0.005510518068806421,-174726000
2010-09-08,1.3933329582214355,1.3966670036315918,1.3733329772949219,1.3773330450057983,4326000,56.71566664802363,1.3370836313856653,1.361034850727637,0.013624185921164322,-0.0016835772708122727,-170400000
2010-09-09,1.380666971206665,1.4033329486846924,1.3793330192565918,1.399999976158142,5643000,55.066528384107855,1.341234425654332,1.361804737805246,0.015075431205487044,0.0016682244244475908,-176043000
2010-09-10,1.3446669578552246,1.3953330516815186,1.3173329830169678,1.3833329677581787,5799000,50.566024463067336,1.3415613334829886,1.3611326680032845,0.01316885101895271,0.003968349743348615,-181842000
